Brand,Concentration,Efficiency
Brand_1,3.9479e+00,3.2224e+00
Brand_1,1.7838e+00,1.5127e+00
Brand_1,7.4415e+00,4.3736e+00
Brand_1,8.5625e+00,5.2151e+00
Brand_1,9.8002e+00,5.4256e+00
Brand_1,8.5162e+00,5.3260e+00
Brand_1,2.2593e+00,2.3510e+00
Brand_1,3.5531e+00,2.3579e+00
Brand_1,4.3489e+00,3.7922e+00
Brand_1,7.2080e+00,4.7582e+00
Brand_1,7.5325e+00,4.6896e+00
Brand_1,3.4273e+00,3.3468e+00
Brand_1,6.2834e-01,1.7433e+00
Brand_1,8.0881e+00,4.6013e+00
Brand_1,8.8878e+00,5.8720e+00
Brand_1,5.4974e+00,3.4986e+00
Brand_1,8.5200e+00,5.6778e+00
Brand_1,7.4378e-01,1.6128e+00
Brand_1,5.5659e+00,3.9258e+00
Brand_1,8.9703e-01,2.0457e+00
Brand_1,7.6274e+00,4.4940e+00
Brand_1,3.7599e+00,3.2849e+00
Brand_1,4.4082e+00,3.7630e+00
Brand_1,1.3000e+00,1.3918e+00
Brand_1,4.0264e-01,1.0992e+00
Brand_1,4.1303e+00,3.6636e+00
Brand_1,7.0336e+00,4.6511e+00
Brand_1,5.7121e+00,3.9804e+00
Brand_1,4.5954e+00,3.7284e+00
Brand_1,4.2546e+00,2.9527e+00
Brand_1,9.8588e+00,5.9266e+00
Brand_1,8.0046e+00,4.7193e+00
Brand_1,5.9025e+00,3.7890e+00
Brand_1,7.1826e+00,5.3164e+00
Brand_1,2.6815e+00,2.0063e+00
Brand_1,6.4106e+00,4.3216e+00
Brand_1,4.7286e+00,2.9695e+00
Brand_1,7.6279e+00,5.7884e+00
Brand_1,3.9346e+00,3.4408e+00
Brand_1,6.2199e+00,4.5870e+00
Brand_1,8.3082e+00,5.3459e+00
Brand_1,7.8689e+00,5.2799e+00
Brand_1,8.5331e-01,1.4626e+00
Brand_1,7.7659e+00,4.7752e+00
Brand_1,5.3679e+00,3.4294e+00
Brand_1,8.5522e+00,5.2985e+00
Brand_1,2.5332e+00,1.8849e+00
Brand_1,3.2228e+00,2.7039e+00
Brand_1,6.2904e+00,4.5887e+00
Brand_1,5.5028e-01,1.4775e+00
Brand_2,9.1547e+00,5.2929e+00
Brand_2,3.4173e+00,4.1830e+00
Brand_2,1.6527e+00,3.7323e+00
Brand_2,1.2086e+00,2.1778e+00
Brand_2,7.1062e+00,4.4613e+00
Brand_2,1.8531e+00,3.2946e+00
Brand_2,1.2100e+00,2.5651e+00
Brand_2,2.2843e+00,4.2086e+00
Brand_2,9.2460e+00,5.3648e+00
Brand_2,9.3187e+00,5.5513e+00
Brand_2,3.7462e+00,3.7925e+00
Brand_2,6.7954e+00,4.5039e+00
Brand_2,4.2000e+00,3.8781e+00
Brand_2,2.8295e+00,3.6493e+00
Brand_2,3.7608e+00,3.6336e+00
Brand_2,8.0066e-01,3.5650e+00
Brand_2,5.0547e+00,4.5253e+00
Brand_2,6.5895e+00,5.3607e+00
Brand_2,2.1495e+00,3.8577e+00
Brand_2,9.9749e+00,6.7319e+00
